y' F' U' r' F2 r U F R U' R',no,yes
y' R U' R' U' R U R D R' U2 R D' R' U' R',no,yes
y2 R L' U R' U' L U R U R' U' R U' R',no,yes
R' U R U2 L' R' U R U' L,no,yes
y R U R2 F R F' R U' R' F' U F,no,yes
y2 R U' R' U2 L R U' R' U L',no,yes
y' R' U' R' D' R U R' D R U2 R U R' U R,no,yes
F R U' R' U' R U2 R' U' F' R' U' R U' R' U2 R,no,yes
R' U2 R U R' U R F U R U2 R' U R U R' F',no,yes
y2 r U' r U2 R' F R U2 r2 F,no,yes
y2 R' U' R2 U R' F' R U R' U' R' F R2 U' R' U' R' U R,no,yes
R U' R' U R U R' U' R U R' U' R' D' R U' R' D R,no,yes
R U R' U R U' R' U' L' U2 R U2 R' U2 L,no,yes
y2 R' D' R U R' D R U R U' R' U R U' R' U' R U R',no,yes
R D R' U' R D' R' U' R' U R U' R' U R U R' U' R,no,yes
R' D' R U R' D R2 U R' U2 R U' R' U' R U' R',no,yes
y' R U R2 D' R U2 R' D R U2 R U R' U' R U' R',no,yes
y R' U' R U' F U' R' U R U F' R' U R,no,yes
R' U2 R' D' R U2 R' D R2 U' R' U2 R U R' U R,no,yes
y' l' U2 R' D2 R U2 R' D2 R2 x',no,yes
y' l U2 R D2 R' U2 R D2 R2 x,no,yes
y2 F R U R' U' R U' R' U' R U R' F',no,yes
y' R U R' U2 R U' R' U2 R U' R2 F' R U R U' R' F,no,yes
y R' U' R' D' R U R' D R U' R U' R' U2 R,no,yes
y R U R' U R' D' R U' R' D R U R U2 R',no,yes
r U R' U' r' F R F' R' U2 R U R' U R,no,yes
y2 R U2 R' U' R U' R2 F' r U R U' r' F,no,yes
y R' U' R U R' U' R2 D R' U R D' R' U2 R' U R,no,yes
R U' R' U R U R' U' R U R' U R' D' R U R' D R,no,yes
y R U' R2 D' r U2 r' D R2 U' R' U' R U' R',no,yes
y2 R U R' U2 R' D' R U R' D R2 U' R' U R U' R',no,yes
y2 r2 U R' U' r' F R F' U R' U' r' F R F',no,yes
y2 R2 F R U R' U' R' F' R' U' R2 U2 R U2 R,no,yes
y2 R U' R2 D' r U2 r' D R2 U R',no,yes
R' U R2 D r' U2 r D' R2 U' R,no,yes
R' U' R U2 R D R' U' R D' R2 U R U' R' U R,no,yes
y R' D' R U' R' D R U' R U' R' U R U' R' U' R U R',no,yes
y R U R' U' R U R2 D' R U' R' D R U2 R U' R',no,yes
y2 R U R' F' R U R' U' R' F R U' R' F R U R U' R' F',no,yes
y2 R U' R' U2 R U R' U2 R U R' U R U' R',no,yes
y' R U R' U R U2 R' U' R U2 R' U' R U' R',no,yes
y' R U R' U R U' R' U R' U' R2 U' R2 U2 R,no,yes
R U2 R' U' R U' R' U R U R' U R U2 R',no,yes
y' R' U' R U' R' U R U' R U R2 U R2 U2 R',no,yes
y2 R' U2 R U R' U R U' R' U' R U' R' U2 R,no,yes
y' R' U' R2 U R2 U R2 U2 R' U R' U R,no,yes
y' R U R2 U' R2 U' R2 U2 R U' R U' R',no,yes
R U2 R' U' R U' R2 U2 R U R' U R,no,yes
y2 R' U2 R U R' U R2 U2 R' U' R U' R',no,yes
R' U R U2 R' U' R U' R U R' U' R' U' R U R U' R',no,yes
y' R U R' U R U2 R' U2 R' U' R U' R' U2 R,no,yes
y F' r U R' U' r' F R2 U2 R' U' R U' R',no,yes
y' F R' F' r U R U' r2 F2 r U L' U L,no,yes
y' R U2 R' U' R U R' U2 R' F R2 U' R' U' R U R' F',no,yes
y F' R U2 R' U2 R' F U' R U R U' R' U' R' U R,no,yes
y2 R' U2 R2 U R2 U R U2 R' F R U R U' R' F',no,yes
y' R U2 R' U' R U R' U' F' R U R' U' R' F R2 U' R',no,yes
R U R' U R U' R2 F' R U2 R U2 R' F R U' R',no,yes
y2 F R U' R' U R U2 R' U' R U R' U' F',no,yes
R F R2 U' R2 U' R2 U2 R2 U' F' R',no,yes
y' R' U2 R U2 R2 F' R U R U' R' F U R,no,yes
y F' R U2 R' U2 R' F R U R U R' U' R U' R',no,yes
F U' R U2 R' U2 R U' R' U' R U R' U F',no,yes
y' R' U2 R U R' U' F' R U R' U' R' F R U2 R,no,yes
y' R U2 R' U' R2 D R' U R D' R2 U' R U' R',no,yes
y2 R2 D' R U' R' D R2 U' R2 D' R U2 R' D R2,no,yes
y R' U2 R U R2 D' R U' R' D R2 U R' U R,no,yes
F R' F' R U2 R U2 R' U' R' F2 r U r' F R,no,yes
y2 R' U' R U' R' U F' R U R' U' R' F R2 U' R' U R,no,yes
y' F R U' R' U' R U2 R' U' F' U R U R' U R U2 R',no,yes
y R U R' U R U2 R' F R U' R' U' R U2 R' U' F',no,yes
R' F' R U2 R U2 R' F U' R U' R',no,yes
R U R' U R U r' F R' F' r,no,yes
y R' F R' F' R2 U' r' U r U' r' U' r,no,yes
y' R U R2 F R F' r U' r' U r U r',no,yes
F U' R2 U R U2 R' U R2 U2 R' U' R F',no,yes
y R U' R2 U' F2 U' R2 U R2 U F2 R2 U R',no,yes
y F R U R' U' R U R' U' R U R' U' F',no,yes
x' U' R U' R' U R' F2 R U' R U R' U x,no,yes
R' U2 R U R' U R U R' U' R U R' F' R U R' U' R' F R2,no,yes
R' U' R U' R' U2 R2 U2 L' U R' U' L U' R U' R',no,yes
R' U' F' U F R U' F U R U' R' U R U' R' F',no,yes
y' R U R' U y' R' U R U' R2 F R F' R,no,yes
R U R' U R U' R' U R U2 R',no,yes
R' U' R U' R' U R U' R' U2 R,no,yes
y' R' U2 R U R' U' R U R' U R,no,yes
y' R U2 R' U' R U R' U' R U' R',no,yes
y' R' U2 R U R' U R U R U R' U R U2 R',no,yes
y R U2 R' U' R U' R' U' R' U' R U' R' U2 R,no,yes
R U R' U R U2 R' U' R' U2 R U R' U R,no,yes
R U R' U R U' R' U R U' R' U R' U' R2 U' R' U R' U R,no,yes
R' U2 R U R' U R U R U R' U R U2 R',no,yes
y R U2 R' U' R U' R' U' R' U' R U' R' U2 R,no,yes
R U R' U R U2 R' U' R' U2 R U R' U R,no,yes
R U R' U R U' R' U R U' R' U R' U' R2 U' R' U R' U R,no,yes
F U R' F R F' R U' R' U R' F R F' R U' R' F',no,yes
R U R' U R U' R' U R2 U R U R U' R' U' R' U R',no,yes
R' F R U R' F R U' R' F' R U' R' F R U R' F R U' R' F',no,yes
R U R' U R U' R' U R U2 R',no,yes
y' R U R' U R U2 R2 F' r U R U' r' F,no,yes
y' r' F' r U' r' F2 r2 U R' U' r' F R F',no,yes
F R U' R' U R U R2 F' R U2 R U' R' U R U2 R' U',no,yes
y2 R U R D R' U' R D' R U' R U' R' U2 R,no,yes
F R' F' R U2 R U2 R' U' r U R' U R U2 r',no,yes
F R U R' U' R' F' R U2 R' U' R2 U' R2 U2 R,no,yes
R2 F R U R U' R' F' R U' R' U' R U R' U R,no,yes
y F U R U' R' U R U2 R' U' R U R' F',no,yes
y' R U R' U R U' R' U' R' F' R U2 R U2 R' F,no,yes
y' F U' R U' R' U R U R' U2 R U2 R' U F',no,yes
y' R F U R2 U2 R2 U R2 U R2 F' R',no,yes
R' U' F' R U R' U' R' F R2 U2 R' U2 R,no,yes
y R2 D' R U2 R D R2 U R2 D' R U R' D R2,no,yes
y' R2 D R' U2 R D' R2 U' R2 D R' U' R D' R2,no,yes
R' U' R U' R2 D' R U R' D R2 U' R' U2 R,no,yes
R U R' U R2 D R' U' R D' R2 U R U2 R',no,yes
R' U' R U R2 F' R U R U' R' F U' R U R' U R,no,yes
y R U2 R' U' R U2 R' U2 R U' R2 D' R U' R' D R,no,yes
y' F U R U2 R' U R U R' F' R U2 R' U' R U' R',no,yes
y2 R U2 R' U' R U' R' U' F U R U2 R' U R U R' F',no,yes
y2 L' U R U' L U' R' U' R U' R',no,yes
r' U r U r' U' r U R2 F R F' R,no,yes
r U' r' U' r U r' U' R2 B' R' B R' U,no,yes
y' R U R' U F' R U2 R' U2 R' F R,no,yes
R' U' R' D' R U' R' D R2 U R' U' R U R' U R,no,yes
R U' R' U' R U' R' U R U R' U R' F' R U R U' R' F,no,yes
y R U R' U R U' R' U R2 D R' U' R D' R' U' R',no,yes
y2 R' U2 R U R' U' R U R2 F R U R U' R' F' R,no,yes
R U' L' U R' U' L U' R U' L' U R' U' L,no,yes
y F U R U' R' U R U' R2 F' R U R U' R',no,yes
F U R U' R2 F' R2 U R' F' U' F U2 R U' R',no,yes
y' R U R' U R U' R2 F R F' R U' R' F' U F,no,yes
y R' U' R U' B2 R' U2 R U2 l U2 l',no,yes
y' R' U' R U' R' U R U' R' U R' D' R U R' D R2,no,yes
y2 R2 D R' U R D' R' U R' U' R U R' U' R U' R',no,yes
R' U' R U' R' U2 R U' L' U R U' L U R',no,yes
R' F R U R' U' R' F' R2 U' R' U R U' R' U2 R,no,yes
R U R D R' U R D' R2 U' R U R' U' R U' R',no,yes
R U2 R2 U' R2 U' R' U2 R' F R U R' U' R' F' R2,no,yes
y' R' U' R U' R' U R U' R2 D' R U R' D R U R,no,yes
R U R' U' R' F R2 U R' U' R U R' U' F',no,yes
y2 R U2 R' U2 R' F R2 U' R' U2 R U2 R' U' F',no,yes
